year,age_0_25_Female,age_26_50_Female,age_51_75_Female,age_75_100_Female,age_0_25_Male,age_26_50_Male,age_51_75_Male,age_75_100_Male
2020,10110,12842,13990,5267,10746,13397,13430,3584
2021,10128,12769,14188,5183,10727,13364,13616,3526
2022,10123,12726,14326,5131,10687,13354,13741,3498
2023,10102,12738,14368,5122,10632,13408,13778,3504
2024,10083,12768,14353,5133,10582,13474,13757,3532
2025,10068,12780,14297,5177,10541,13522,13707,3583
2026,10045,12795,14222,5236,10500,13554,13644,3635
2027,10029,12770,14165,5288,10476,13544,13597,3684
2028,10013,12721,14106,5343,10455,13502,13555,3735
2029,9993,12653,14054,5399,10431,13437,13519,3789
2030,9963,12566,14001,5464,10403,13357,13481,3852
2031,9940,12446,13971,5530,10378,13239,13457,3919
2032,9924,12321,13928,5615,10357,13113,13427,4004
2033,9900,12192,13873,5703,10327,12982,13391,4100
2034,9865,12081,13797,5811,10292,12856,13336,4203
2035,9841,11955,13696,5937,10267,12724,13261,4329
2036,9810,11834,13582,6080,10231,12589,13183,4463
2037,9780,11689,13470,6243,10200,12419,13105,4613
2038,9744,11542,13357,6407,10159,12250,13041,4766
2039,9701,11386,13243,6585,10116,12065,12974,4929
2040,9646,11253,13117,6761,10051,11908,12892,5094
2041,9582,11120,13008,6919,9983,11744,12836,5243
2042,9498,11050,12861,7073,9903,11637,12737,5381
2043,9424,10982,12718,7209,9825,11544,12641,5500
2044,9346,10927,12580,7316,9747,11457,12558,5598
2045,9271,10884,12461,7396,9667,11378,12485,5668
2046,9198,10844,12368,7439,9595,11304,12444,5702
2047,9128,10792,12308,7454,9522,11222,12429,5716
2048,9063,10729,12293,7421,9458,11129,12462,5687
2049,9005,10682,12298,7355,9392,11051,12500,5623
2050,8952,10647,12290,7279,9340,10986,12528,5562
