year,population,glob,n_hem,x24n_90n,qnt_death_heat_cold_exposure,qnt_death_lower_respiratory_infections,qnt_death_exposure_to_forces_of_nature,qnt_death_chronic_respiratory_diseases,male_germans_age_0_25,male_germans_age_26_50,male_germans_age_51_75,male_germans_age_75_100,female_germans_age_0_25,female_germans_age_26_50,female_germans_age_51_75,female_germans_age_75_100,temp_rcp_45
2000,82211508,0.39,0.5,0.7,383896,16361950,49769,20581036,6163,30688,185359,157391,3170,14888,110849,315425,9.140846617870864
2001,82349925,0.53,0.64,0.8,391505,15973481,171144,20679346,5970,29583,182655,155995,3097,14528,107386,314066,9.159503025362378
2002,82488495,0.63,0.71,0.82,410231,15732313,49648,20829474,5668,29337,183466,160596,3130,14398,106871,322329,9.202696501203391
2003,82534176,0.62,0.75,0.84,423566,15491526,181717,20841542,5627,28992,184602,166608,2981,14053,105616,329004,9.236450617368048
2004,82516260,0.53,0.66,0.72,393644,15203469,1399238,20661943,5162,27601,177383,163088,2874,13504,100669,311861,9.249842251185465
2005,82469422,0.67,0.86,1.01,400981,15107177,458696,20763981,4885,26629,175115,171322,2665,13382,99870,319632,9.281829487415
2006,82376451,0.63,0.82,0.98,378794,14923656,111927,20656972,4590,25549,171143,174086,2522,12982,97350,316459,9.305811675450794
2007,82266372,0.66,0.85,1.12,350084,14767701,86401,20699617,4649,24839,169557,180862,2508,12546,96547,317664,9.31900833353116
2008,82110097,0.54,0.68,0.91,338265,14700726,1270866,20964518,4340,23977,168798,188335,2397,12434,97927,326258,9.3616136781703
2009,81902307,0.65,0.72,0.77,321443,14524724,60928,20895664,4200,23466,170371,194417,2366,12173,98439,328399,9.376869320586971
2010,81776930,0.72,0.9,1.02,345004,14391312,1225205,20969365,3934,22710,170944,198926,2338,11893,99088,328754,9.383479159723116
2011,80274983,0.61,0.74,0.98,303079,14310761,204595,21154906,4029,21309,166433,203361,2283,11573,98130,324837,9.42196479389885
2012,80425823,0.65,0.81,1.04,301914,14318860,47768,21278719,3714,20227,164775,214278,2110,10964,96754,334938,9.462666614983856
2013,80645605,0.67,0.8,0.94,290870,14397233,144535,21598677,3483,19539,165929,226352,2140,10690,98002,344195,9.479192384686147
2014,80982500,0.74,0.92,1.07,285918,14375797,41685,21839782,3449,18628,159893,225595,2034,9839,94238,330530,9.503082237587313
2015,81686611,0.89,1.17,1.31,302263,14398269,81224,22081571,3404,18446,164116,246925,2145,9857,96734,356456,9.514134699558188
2016,82348669,1.01,1.3,1.54,278477,14310670,48015,22375948,3442,17447,158581,250715,2130,9540,93645,345740,9.514059725929744
2017,82657002,0.92,1.18,1.39,271232,14167454,69812,22699138,3184,16282,155846,263737,2052,8828,92866,358719,9.55426666865884
2018,82905782,0.84,1.03,1.24,271378,14194124,63997,23248429,3213,15771,157863,273124,1955,8703,94012,365016,9.582436640124028
2019,83092962,0.97,1.21,1.41,280147,14249200,33861,23767366,3055,14905,154894,272358,1813,8108,92324,357975,9.60273187407086
2020,83160871,1.02,1.35,1.67,NA,NA,NA,NA,2740,14735,159591,292614,1698,7836,93169,375547,9.624191117778544
2021,83129285,0.84,1.14,1.42,NA,NA,NA,NA,2992,14870,169900,301541,1839,7954,98287,383059,9.624966446032984
